Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AU200/AUD,6075,3,0.0000,0.0000,1.00000,0.749660,819.7127,5.556,1.00,0.000,AU200/AUD
AUD/CAD,0.96409,0.00022,0.0000,0.0000,0.00010,0.000078,0.0390,19.231,1.00,0.000,AUD/CAD
AUD/CHF,0.74854,0.00026,0.0000,0.0000,0.00010,0.000100,0.0450,16.667,1.00,0.000,AUD/CHF
AUD/HKD,5.88659,0.00132,0.0000,0.0000,0.00010,0.000013,0.0975,7.692,1.00,0.000,AUD/HKD
AUD/JPY,82.40,0.02,0.0000,0.0000,0.01000,0.000091,0.0525,14.286,1.00,0.000,AUD/JPY
AUD/NZD,1.07147,0.00029,0.0000,0.0000,0.00010,0.000070,0.0450,16.667,1.00,0.000,AUD/NZD
AUD/SGD,1.00163,0.00038,0.0000,0.0000,0.00010,0.000075,0.0975,7.692,1.00,0.000,AUD/SGD
AUD/USD,0.74987,0.00014,0.0000,0.0000,0.00010,0.000100,0.0225,33.333,1.00,0.000,AUD/USD
BCO/USD,73.56,0.03,0.0000,0.0000,0.01000,0.010000,3.3100,22.222,1.00,0.000,BCO/USD
CAD/CHF,0.77653,0.00024,0.0000,0.0000,0.00010,0.000100,0.0405,19.231,1.00,0.000,CAD/CHF
CAD/HKD,6.10632,0.00107,0.0000,0.0000,0.00010,0.000013,0.0949,8.197,1.00,0.000,CAD/HKD
CAD/JPY,85.49,0.02,0.0000,0.0000,0.01000,0.000091,0.0482,16.129,1.00,0.000,CAD/JPY
CAD/SGD,1.03900,0.00033,0.0000,0.0000,0.00010,0.000075,0.0949,8.197,1.00,0.000,CAD/SGD
CH20/CHF,8651,9,0.0000,0.0000,1.00000,0.000076,0.0230,285.562,1.00,0.000,CH20/CHF
CHF/HKD,7.86507,0.00150,0.0000,0.0000,0.00010,0.000013,0.1303,7.692,1.00,0.000,CHF/HKD
CHF/JPY,110.13,0.02,0.0000,0.0000,0.01000,0.000091,0.0702,14.286,1.00,0.000,CHF/JPY
CHF/ZAR,12.68517,0.01143,0.0000,0.0000,0.00010,0.000008,0.2807,3.571,1.00,0.000,CHF/ZAR
CN50/USD,12197,13,0.0000,0.0000,1.00000,1.000000,1829.5050,6.667,1.00,0.000,CN50/USD
CORN/USD,3.95,0.01,0.0000,0.0000,0.01000,0.010000,0.1618,24.390,1.00,0.000,CORN/USD
DE10YB/EUR,159.56,0.02,0.0000,0.0000,0.01000,0.011960,7.2519,26.316,1.00,0.000,DE10YB/EUR
DE30/EUR,12797,2,0.0000,0.0000,1.00000,1.195940,2754.8645,5.556,1.00,0.000,DE30/EUR
EU50/EUR,3564,2,0.0000,0.0000,1.00000,1.196030,767.2126,5.556,1.00,0.000,EU50/EUR
EUR/AUD,1.59546,0.00025,0.0000,0.0000,0.00010,0.000075,0.0718,16.667,1.00,0.000,EUR/AUD
EUR/CAD,1.53791,0.00021,0.0000,0.0000,0.00010,0.000078,0.0622,19.231,1.00,0.000,EUR/CAD
EUR/CHF,1.19414,0.00018,0.0000,0.0000,0.00010,0.000100,0.0718,16.667,1.00,0.000,EUR/CHF
EUR/CZK,25.57133,0.00778,0.0000,0.0000,0.00010,0.000005,0.1556,7.692,1.00,0.000,EUR/CZK
EUR/DKK,7.44991,0.00125,0.0000,0.0000,0.00010,0.000016,0.1555,7.692,1.00,0.000,EUR/DKK
EUR/GBP,0.87971,0.00014,0.0000,0.0000,0.00010,0.000136,0.0718,16.667,1.00,0.000,EUR/GBP
EUR/HKD,9.39077,0.00149,0.0000,0.0000,0.00010,0.000013,0.1555,7.692,1.00,0.000,EUR/HKD
EUR/HUF,314.65,0.19,0.0000,0.0000,0.01000,0.000038,0.1556,7.692,1.00,0.000,EUR/HUF
EUR/JPY,131.49,0.02,0.0000,0.0000,0.01000,0.000091,0.0838,14.286,1.00,0.000,EUR/JPY
EUR/NOK,9.71910,0.00326,0.0000,0.0000,0.00010,0.000012,0.0718,16.667,1.00,0.000,EUR/NOK
EUR/NZD,1.70925,0.00034,0.0000,0.0000,0.00010,0.000070,0.0718,16.667,1.00,0.000,EUR/NZD
EUR/PLN,4.26603,0.00257,0.0000,0.0000,0.00010,0.000028,0.1556,7.692,1.00,0.000,EUR/PLN
EUR/SEK,10.67641,0.00404,0.0000,0.0000,0.00010,0.000011,0.0718,16.667,1.00,0.000,EUR/SEK
EUR/SGD,1.59782,0.00044,0.0000,0.0000,0.00010,0.000075,0.1555,7.692,1.00,0.000,EUR/SGD
EUR/TRY,4.99360,0.00338,0.0000,0.0000,0.00010,0.000024,0.3353,3.571,1.00,0.000,EUR/TRY
EUR/USD,1.19620,0.00011,0.0000,0.0000,0.00010,0.000100,0.0359,33.333,1.00,0.000,EUR/USD
EUR/ZAR,15.14613,0.01301,0.0000,0.0000,0.00010,0.000008,0.3352,3.571,1.00,0.000,EUR/ZAR
FR40/EUR,5541,1,0.0000,0.0000,1.00000,1.196030,1192.9610,5.556,1.00,0.000,FR40/EUR
GBP/AUD,1.81379,0.00034,0.0000,0.0000,0.00010,0.000075,0.0816,16.667,1.00,0.000,GBP/AUD
GBP/CAD,1.74844,0.00033,0.0000,0.0000,0.00010,0.000078,0.0707,19.231,1.00,0.000,GBP/CAD
GBP/CHF,1.35758,0.00028,0.0000,0.0000,0.00010,0.000100,0.0816,16.667,1.00,0.000,GBP/CHF
GBP/HKD,10.67614,0.00203,0.0000,0.0000,0.00010,0.000013,0.1768,7.692,1.00,0.000,GBP/HKD
GBP/JPY,149.47,0.02,0.0000,0.0000,0.01000,0.000091,0.0952,14.286,1.00,0.000,GBP/JPY
GBP/NZD,1.94320,0.00043,0.0000,0.0000,0.00010,0.000070,0.0816,16.667,1.00,0.000,GBP/NZD
GBP/PLN,4.85028,0.00372,0.0000,0.0000,0.00010,0.000028,0.1769,7.692,1.00,0.000,GBP/PLN
GBP/SGD,1.81657,0.00054,0.0000,0.0000,0.00010,0.000075,0.1768,7.692,1.00,0.000,GBP/SGD
GBP/USD,1.35991,0.00014,0.0000,0.0000,0.00010,0.000100,0.0408,33.333,1.00,0.000,GBP/USD
GBP/ZAR,17.21868,0.01465,0.0000,0.0000,0.00010,0.000008,0.3811,3.571,1.00,0.000,GBP/ZAR
HK33/HKD,30491,7,0.0000,0.0000,1.00000,0.127394,971.1006,4.000,1.00,0.000,HK33/HKD
HKD/JPY,14.00012,0.00248,0.0000,0.0000,0.00010,0.000001,0.0178,7.143,1.00,0.000,HKD/JPY
IN50/USD,10698,11,0.0000,0.0000,1.00000,1.000000,1604.7000,6.667,1.00,0.000,IN50/USD
JP225/USD,22560,15,0.0000,0.0000,1.00000,1.000000,3383.9700,6.667,1.00,0.000,JP225/USD
NAS100/USD,6663,1,0.0000,0.0000,1.00000,1.000000,553.0373,12.048,1.00,0.000,NAS100/USD
NATGAS/USD,2.74,0.01,0.0000,0.0000,0.01000,0.010000,0.1670,16.393,1.00,0.000,NATGAS/USD
NL25/EUR,558.11,0.17,0.0000,0.0000,0.01000,0.011960,120.1529,5.556,1.00,0.000,NL25/EUR
NZD/CAD,0.89990,0.00023,0.0000,0.0000,0.00010,0.000078,0.0364,19.231,1.00,0.000,NZD/CAD
NZD/CHF,0.69870,0.00028,0.0000,0.0000,0.00010,0.000100,0.0420,16.667,1.00,0.000,NZD/CHF
NZD/HKD,5.49456,0.00169,0.0000,0.0000,0.00010,0.000013,0.0910,7.692,1.00,0.000,NZD/HKD
NZD/JPY,76.92,0.02,0.0000,0.0000,0.01000,0.000091,0.0490,14.286,1.00,0.000,NZD/JPY
NZD/SGD,0.93493,0.00042,0.0000,0.0000,0.00010,0.000075,0.0910,7.692,1.00,0.000,NZD/SGD
NZD/USD,0.69993,0.00017,0.0000,0.0000,0.00010,0.000100,0.0210,33.333,1.00,0.000,NZD/USD
SG30/SGD,416.5,0.3,0.0000,0.0000,0.10000,0.074881,77.9769,4.000,1.00,0.000,SG30/SGD
SGD/CHF,0.74748,0.00025,0.0000,0.0000,0.00010,0.000100,0.0974,7.692,1.00,0.000,SGD/CHF
SGD/HKD,5.87816,0.00131,0.0000,0.0000,0.00010,0.000013,0.1498,5.000,1.00,0.000,SGD/HKD
SGD/JPY,82.29,0.03,0.0000,0.0000,0.01000,0.000091,0.1049,7.143,1.00,0.000,SGD/JPY
SOYBN/USD,10.31,0.02,0.0000,0.0000,0.01000,0.010000,0.3506,29.412,1.00,0.000,SOYBN/USD
SPX500/USD,2647,1,0.0000,0.0000,1.00000,1.000000,198.4875,13.333,1.00,0.000,SPX500/USD
SUGAR/USD,0.11540,0.00025,0.0000,0.0000,0.00010,0.000100,0.0084,13.699,1.00,0.000,SUGAR/USD
TRY/JPY,26.35,0.02,0.0000,0.0000,0.01000,0.000091,0.0696,3.448,1.00,0.000,TRY/JPY
TWIX/USD,390,1,0.0000,0.0000,1.00000,1.000000,58.5300,6.667,1.00,0.000,TWIX/USD
UK100/GBP,7541,2,0.0000,0.0000,1.00000,1.359520,1845.2629,5.556,1.00,0.000,UK100/GBP
UK10YB/GBP,122.52,0.03,0.0000,0.0000,0.01000,0.013596,7.9954,20.833,1.00,0.000,UK10YB/GBP
US2000/USD,1559.29,0.30,0.0000,0.0000,0.01000,0.010000,101.3539,15.385,1.00,0.000,US2000/USD
US30/USD,24028,2,0.0000,0.0000,1.00000,1.000000,1994.2825,12.048,1.00,0.000,US30/USD
USB02Y/USD,106.12,0.02,0.0000,0.0000,0.01000,0.010000,2.1225,50.000,1.00,0.000,USB02Y/USD
USB05Y/USD,113.55,0.02,0.0000,0.0000,0.01000,0.010000,2.2709,50.000,1.00,0.000,USB05Y/USD
USB10Y/USD,119.72,0.03,0.0000,0.0000,0.01000,0.010000,2.3943,50.000,1.00,0.000,USB10Y/USD
USB30Y/USD,143.91,0.04,0.0000,0.0000,0.01000,0.010000,3.0221,47.619,1.00,0.000,USB30Y/USD
USD/CAD,1.28576,0.00018,0.0000,0.0000,0.00010,0.000078,0.0220,45.455,1.00,0.000,USD/CAD
USD/CHF,0.99829,0.00016,0.0000,0.0000,0.00010,0.000100,0.0300,33.333,1.00,0.000,USD/CHF
USD/CNH,6.36673,0.00122,0.0000,0.0000,0.00010,0.000016,0.2501,4.000,1.00,0.000,USD/CNH
USD/CZK,21.37954,0.00804,0.0000,0.0000,0.00010,0.000005,0.1000,10.000,1.00,0.000,USD/CZK
USD/DKK,6.22857,0.00142,0.0000,0.0000,0.00010,0.000016,0.1000,10.000,1.00,0.000,USD/DKK
USD/HKD,7.85004,0.00039,0.0000,0.0000,0.00010,0.000013,0.1000,10.000,1.00,0.000,USD/HKD
USD/HUF,263.07,0.19,0.0000,0.0000,0.01000,0.000038,0.1001,10.000,1.00,0.000,USD/HUF
USD/INR,66.83,0.10,0.0000,0.0000,0.01000,0.000150,0.2504,4.000,1.00,0.000,USD/INR
USD/JPY,109.90,0.01,0.0000,0.0000,0.01000,0.000091,0.0400,25.000,1.00,0.000,USD/JPY
USD/MXN,19.05615,0.00616,0.0000,0.0000,0.00010,0.000005,0.0800,12.500,1.00,0.000,USD/MXN
USD/NOK,8.12584,0.00334,0.0000,0.0000,0.00010,0.000012,0.0300,33.333,1.00,0.000,USD/NOK
USD/PLN,3.56596,0.00232,0.0000,0.0000,0.00010,0.000028,0.1001,10.000,1.00,0.000,USD/PLN
USD/SAR,3.75125,0.00180,0.0000,0.0000,0.00010,0.000027,0.1001,10.000,1.00,0.000,USD/SAR
USD/SEK,8.92569,0.00333,0.0000,0.0000,0.00010,0.000011,0.0300,33.333,1.00,0.000,USD/SEK
USD/SGD,1.33572,0.00023,0.0000,0.0000,0.00010,0.000075,0.1000,10.000,1.00,0.000,USD/SGD
USD/THB,31.81,0.10,0.0000,0.0000,0.01000,0.000315,0.2508,4.000,1.00,0.000,USD/THB
USD/TRY,4.17403,0.00381,0.0000,0.0000,0.00010,0.000024,0.2502,4.000,1.00,0.000,USD/TRY
USD/ZAR,12.66168,0.00954,0.0000,0.0000,0.00010,0.000008,0.2502,4.000,1.00,0.000,USD/ZAR
WHEAT/USD,5.14,0.01,0.0000,0.0000,0.01000,0.010000,0.3187,16.129,1.00,0.000,WHEAT/USD
WTICO/USD,67.42,0.03,0.0000,0.0000,0.01000,0.010000,2.7641,24.390,1.00,0.000,WTICO/USD
XAG/AUD,21.82884,0.02761,0.0000,0.0000,0.00010,0.000075,3.7635,4.348,1.00,0.000,XAG/AUD
XAG/CAD,21.04231,0.02558,0.0000,0.0000,0.00010,0.000078,3.6337,4.505,1.00,0.000,XAG/CAD
XAG/CHF,16.33720,0.02012,0.0000,0.0000,0.00010,0.000100,3.7648,4.348,1.00,0.000,XAG/CHF
XAG/EUR,13.68249,0.01642,0.0000,0.0000,0.00010,0.000120,3.7638,4.348,1.00,0.000,XAG/EUR
XAG/GBP,12.03563,0.01464,0.0000,0.0000,0.00010,0.000136,3.7635,4.348,1.00,0.000,XAG/GBP
XAG/HKD,128.47509,0.14658,0.0000,0.0000,0.00010,0.000013,4.9101,3.333,1.00,0.000,XAG/HKD
XAG/JPY,1798,2,0.0000,0.0000,1.00000,0.009102,3.9285,4.167,1.00,0.000,XAG/JPY
XAG/NZD,23.38826,0.03154,0.0000,0.0000,0.00010,0.000070,3.7642,4.348,1.00,0.000,XAG/NZD
XAG/SGD,21.86013,0.02762,0.0000,0.0000,0.00010,0.000075,4.9107,3.333,1.00,0.000,XAG/SGD
XAG/USD,16.36617,0.01786,0.0000,0.0000,0.00010,0.000100,3.2732,5.000,1.00,0.000,XAG/USD
XAU/AUD,1742.17,0.71,0.0000,0.0000,0.01000,0.007496,300.3634,4.348,1.00,0.000,XAU/AUD
XAU/CAD,1679.39,0.60,0.0000,0.0000,0.01000,0.007779,290.0102,4.505,1.00,0.000,XAU/CAD
XAU/CHF,1303.88,0.49,0.0000,0.0000,0.01000,0.010019,300.4656,4.348,1.00,0.000,XAU/CHF
XAU/EUR,1092.00,0.38,0.0000,0.0000,0.01000,0.011960,300.3860,4.348,1.00,0.000,XAU/EUR
XAU/GBP,960.57,0.34,0.0000,0.0000,0.01000,0.013596,300.3685,4.348,1.00,0.000,XAU/GBP
XAU/HKD,10253.64,2.91,0.0000,0.0000,0.01000,0.001274,391.8762,3.333,1.00,0.000,XAU/HKD
XAU/JPY,143545,52,0.0000,0.0000,10.00000,0.091019,313.5682,4.167,1.00,0.000,XAU/JPY
XAU/NZD,1866.63,0.92,0.0000,0.0000,0.01000,0.006998,300.4236,4.348,1.00,0.000,XAU/NZD
XAU/SGD,1744.66,0.71,0.0000,0.0000,0.01000,0.007488,391.9243,3.333,1.00,0.000,XAU/SGD
XAU/USD,1305.70,0.32,0.0000,0.0000,0.01000,0.010000,261.1406,5.000,1.00,0.000,XAU/USD
XAU/XAG,79.90,0.12,0.0000,0.0000,0.01000,0.163483,522.5116,2.500,1.00,0.000,XAU/XAG
XCU/USD,3.04087,0.00150,0.0000,0.0000,0.00010,0.000100,0.1490,20.408,1.00,0.000,XCU/USD
XPT/USD,896.78,1.50,0.0000,0.0000,0.01000,0.010000,179.3560,5.000,1.00,0.000,XPT/USD
ZAR/JPY,8.69,0.02,0.0000,0.0000,0.01000,0.000091,0.0229,3.448,1.00,0.000,ZAR/JPY